player_id,player,nfl_team,nfl_season,nfl_targets,nfl_contested_targets,nfl_contested_receptions,nfl_cc_rate,nfl_receptions,nfl_rec_yards,nfl_rec_tds,nfl_yac,nfl_yac_per_rec
61441,Nico Collins,Texans,2023,116,14,7,0.5,84,1345,8,583,6.9
61441,Nico Collins,Texans,2024,105,17,11,0.6470588235294118,73,1151,7,466,6.4
61441,Nico Collins,Texans,2025,127,33,18,0.5454545454545454,75,1166,6,352,4.7
61448,Cody White,Steelers,2022,1,0,0,,1,2,0,1,1.0
61448,Cody White,Seahawks,2024,4,1,0,0.0,2,44,0,14,7.0
61448,Cody White,Seahawks,2025,4,0,0,,3,90,1,57,19.0
61457,Braylon Sanders,Dolphins,2022,3,0,0,,2,17,0,4,2.0
61478,Lance McCutcheon,Rams,2022,4,2,0,0.0,0,0,0,0,0.0
61501,Elijah Cooks,Jaguars,2023,4,0,0,,3,38,0,9,3.0
61501,Elijah Cooks,Jaguars,2024,0,0,0,,0,0,0,0,0.0
61522,Jaelon Darden,Browns,2022,2,0,0,,2,26,0,15,7.5
61522,Jaelon Darden,Browns,2024,1,0,0,,1,6,0,8,8.0
61544,Kyric McGowan,Commanders,2022,0,0,0,,0,0,0,0,0.0
61568,Marquise Brown,Cardinals,2022,112,18,11,0.6111111111111112,68,724,3,245,3.6
61568,Marquise Brown,Cardinals,2023,105,25,5,0.2,53,580,4,171,3.2
61568,Marquise Brown,Chiefs,2024,15,1,1,1.0,9,91,0,46,5.1
61568,Marquise Brown,Chiefs,2025,77,12,4,0.3333333333333333,50,601,5,199,4.0
61570,CeeDee Lamb,Cowboys,2022,155,27,12,0.4444444444444444,110,1397,9,509,4.6
61570,CeeDee Lamb,Cowboys,2023,188,31,11,0.3548387096774194,137,1763,12,676,4.9
61570,CeeDee Lamb,Cowboys,2024,162,34,18,0.5294117647058824,106,1246,6,566,5.3
61570,CeeDee Lamb,Cowboys,2025,130,34,14,0.4117647058823529,77,1102,3,320,4.2
61577,Tylan Wallace,Ravens,2022,6,1,1,1.0,4,33,0,12,3.0
